Identifiant Museofile,Region administrative,Departement,Commune,Nom officiel du musee,Adresse,Lieu,Code Postal,Telephone,Latitude,Longitude,REF_Deps
M0967,Auvergne-Rhone-Alpes,Ain,Lochieu,musee du Bugey-Valromey,3 rue Centrale,,01260,04 79 87 52 23,"45,930633","5,727664",0121801
M0964,Auvergne-Rhone-Alpes,Ain,Bourg-en-Bresse,musees des pays de l'Ain,"34, rue General Delestraint",,01000,04 74 32 10 60,"46,196543","5,219217",0105302
M0965,Auvergne-Rhone-Alpes,Ain,Briord,musee de la societe d'histoire et d'archeologie,,Au bourg,01470,04 74 36 72 06 (mairie),"45,781653","5,458569",0106401
M0971,Auvergne-Rhone-Alpes,Ain,Pont-de-Vaux,musee Chintreuil,66 rue Marechal de Lattre-de-Tassigny,,01190,03 85 51 45 75,"46,430076","4,938125",0130501
M0974,Auvergne-Rhone-Alpes,Ain,Seyssel,musee du bois,place de la Republique,Mairie,01420,04 50 56 21 55 (mairie),"45,959038","5,831489",0140701
M0966,Auvergne-Rhone-Alpes,Ain,Izernore,musee archeologique,Place de l'Eglise,,01580,04 74 49 20 42,"46,219853","5,555588",0119201
M0968,Auvergne-Rhone-Alpes,Ain,Nantua,musee de la resistance et de la deportation de l'Ain,3 montee de l'abbaye,,01130,04 74 75 07 50,"46,152378","5,608744",0126901
M0970,Auvergne-Rhone-Alpes,Ain,Perouges,musee du vieux Perouges,place du Tilleul,,01800,04 74 61 00 88,"45,903299","5,179502",0129001
M0973,Auvergne-Rhone-Alpes,Ain,Saint-Paul-de-Varax,musee Louis Jourdan,place Louis-Jourdan,,01240,04 74 50 50 13,"46,098973","5,129264",0138301
M0975,Auvergne-Rhone-Alpes,Ain,Treffort-Cuisiat,musee du Revermont,40 rue Principale,CUISIAT,01000,04 74 51 32 42,"46,209952","5,243955",0113701
M1082,Auvergne-Rhone-Alpes,Ain,Villars-les-Dombes,musee de la Dombes,34 rue du General-Delestraint,,01330,04 74 32 10 60,"46,005784","5,032151",0144301
M0963,Auvergne-Rhone-Alpes,Ain,Bourg-en-Bresse,musee de Brou,63 boulevard de Brou,Monastere royal de Brou,01000,04 74 22 83 83,"46,196549","5,236521",0105301
M0969,Auvergne-Rhone-Alpes,Ain,Oyonnax,musee du peigne et de la plasturgie,Place Georges Pompidou,,10100,04 74 81 96 82,"46,2610193791","5,6480755469",0128301
M0972,Auvergne-Rhone-Alpes,Ain,Saint-Cyr-sur-Menthon,musee de la Bresse - domaine des Planons,987 chemin des Seiglieres,,01380,03 85 36 31 22,"46,282489","4,986729",0134301
M0109,Auvergne-Rhone-Alpes,Allier,Vichy,musee des arts africains et asiatiques (maison du missionnaire),"16, avenue Thermale",,03200,04 70 97 76 40,"46,128104","3,419803",0331002
M0108,Auvergne-Rhone-Alpes,Allier,Souvigny,musee Saint-Marc,place Aristide Briand,BP 27,03210,04 70 43 99 75,"46,534866","3,192356",0327501
M0101,Auvergne-Rhone-Alpes,Allier,Beaulon,musee rural de la Sologne bourbonnaise,11 route du donjon,Mairie,03470,04 70 42 22 34,"46,466871","3,748142",0307401
M0103,Auvergne-Rhone-Alpes,Allier,Gannat,musee municipal,Esplanade Pierre Roch Jurien de la Graviere,Chateau prison de Gannat,03800,04 70 90 23 78,"46,1017762367","3,1965137136",0311801
M0104,Auvergne-Rhone-Alpes,Allier,Montluçon,musee des musiques populaires (vieux chateau),3 rue Notre Dame,,03100,04 70 02 19 60,"46,341009","2,605724",0318501
M0102,Auvergne-Rhone-Alpes,Allier,Cerilly,musee Charles-Louis Philippe,5 rue Charles-Louis-Philippe,,03350,04 70 67 52 00,"46,617913","2,823245",0304801
M0106,Auvergne-Rhone-Alpes,Allier,Moulins,musee Anne de Beaujeu,Pavillon Anne de Beaujeu. Place du Colonel Laussedat,Chateau des ducs de Bourbon,03000,04 70 20 48 47,"46,56707","3,331218",0319001
M0107,Auvergne-Rhone-Alpes,Allier,Neris-les-Bains,musee gallo-romain,"4, rue Monthyon",La maison du patrimoine,03310,04 70 03 42 11,"46,287552","2,662598",0319501
M5083,Auvergne-Rhone-Alpes,Allier,Moulins-sur-Allier,Centre national du costume de scene et de la scenographie,Quartier Villars,Quartier Villars,03000,04 70 20 76 20,"46,560973","3,335798",0319002
M0979,Auvergne-Rhone-Alpes,Ardeche,Serrieres,musee de la batellerie du Rhone,154 rue Auguste Vincent,Ancienne eglise Saint-Sornin,07340,04 75 34 00 46,"45,317802","4,763253",0731301
M7058,Auvergne-Rhone-Alpes,Ardeche,Privas,musee de la terre ardechoise,2 place des Recollets,,07000,04 75 64 43 69,"44,735836","4,594922",0718601
M0978,Auvergne-Rhone-Alpes,Ardeche,Orgnac-l'Aven,Cite de prehistoire,Site de l'aven d'Orgnac,,07150,04 75 38 65 10,"44,310413","4,425665",0716801
M0981,Auvergne-Rhone-Alpes,Ardeche,Tournon-sur-Rhone,musee du Rhone,"14, place Auguste Faure",Chateau,07300,04 75 08 10 30,"45,067938","4,831838",0732401
M0976,Auvergne-Rhone-Alpes,Ardeche,Annonay,musee vivarois Cesar Filhol,15 rue Jean-Baptiste Bechetoille,Ancien Bailliage Royal,07100,04 75 67 67 93,"45,240803","4,668129",0701001
M0980,Auvergne-Rhone-Alpes,Ardeche,Soyons,musee archeologique,Place de la deesse Soïo,,07130,04 75 60 88 86,"44,887803","4,850777",0731601
M0977,Auvergne-Rhone-Alpes,Ardeche,Les Vans,musee regional,,,07140,04 75 37 24 48,"44,404332","4,131418",0733401
M1174,Auvergne-Rhone-Alpes,Ardeche,Alba-la-Romaine,museAL musee departemental archeologique,Quartier St Pierre - RD 107,,07400,04 75 52 45 15,"44,561507","4,592008",0700501
M0114,Auvergne-Rhone-Alpes,Cantal,Saint-Flour,musee Alfred Douët,"17, place d'Armes",Maison Consulaire,15100,04 71 60 44 99,"45,034016","3,095067",1518702
M7018,Auvergne-Rhone-Alpes,Cantal,Aurillac,musee des sciences,Chateau Saint-Etienne,,15000,04 71 48 07 00,"44,932919","2,444912",1501401
